value,time
180.5,2023-08-21T00:00:00
192.8,2023-08-21T01:00:00
190.4,2023-08-21T02:00:00
176.8,2023-08-21T03:00:00
144.7,2023-08-21T04:00:00
104.8,2023-08-21T05:00:00
73.9,2023-08-21T06:00:00
55.0,2023-08-21T07:00:00
53.3,2023-08-21T08:00:00
62.6,2023-08-21T09:00:00
87.8,2023-08-21T10:00:00
125.1,2023-08-21T11:00:00
156.0,2023-08-21T12:00:00
178.9,2023-08-21T13:00:00
183.1,2023-08-21T14:00:00
173.4,2023-08-21T15:00:00
152.3,2023-08-21T16:00:00
119.6,2023-08-21T17:00:00
89.5,2023-08-21T18:00:00
68.5,2023-08-21T19:00:00
66.7,2023-08-21T20:00:00
75.0,2023-08-21T21:00:00
96.3,2023-08-21T22:00:00
129.2,2023-08-21T23:00:00
162.1,2023-08-22T00:00:00
185.5,2023-08-22T01:00:00
190.1,2023-08-22T02:00:00
183.2,2023-08-22T03:00:00
162.9,2023-08-22T04:00:00
127.7,2023-08-22T05:00:00
93.7,2023-08-22T06:00:00
68.7,2023-08-22T07:00:00
56.3,2023-08-22T08:00:00
58.9,2023-08-22T09:00:00
74.0,2023-08-22T10:00:00
104.8,2023-08-22T11:00:00
138.3,2023-08-22T12:00:00
164.8,2023-08-22T13:00:00
178.6,2023-08-22T14:00:00
176.9,2023-08-22T15:00:00
165.1,2023-08-22T16:00:00
139.9,2023-08-22T17:00:00
109.4,2023-08-22T18:00:00
85.1,2023-08-22T19:00:00
74.1,2023-08-22T20:00:00
74.7,2023-08-22T21:00:00
87.9,2023-08-22T22:00:00
111.8,2023-08-22T23:00:00
142.0,2023-08-23T00:00:00
169.7,2023-08-23T01:00:00
182.9,2023-08-23T02:00:00
183.9,2023-08-23T03:00:00
174.4,2023-08-23T04:00:00
150.1,2023-08-23T05:00:00
117.8,2023-08-23T06:00:00
90.6,2023-08-23T07:00:00
72.4,2023-08-23T08:00:00
67.5,2023-08-23T09:00:00
73.4,2023-08-23T10:00:00
91.3,2023-08-23T11:00:00
119.5,2023-08-23T12:00:00
148.5,2023-08-23T13:00:00
167.7,2023-08-23T14:00:00
173.3,2023-08-23T15:00:00
169.5,2023-08-23T16:00:00
156.2,2023-08-23T17:00:00
129.4,2023-08-23T18:00:00
104.8,2023-08-23T19:00:00
87.8,2023-08-23T20:00:00
79.2,2023-08-23T21:00:00
83.6,2023-08-23T22:00:00
97.3,2023-08-23T23:00:00
122.1,2023-08-24T00:00:00
147.3,2023-08-24T01:00:00
165.8,2023-08-24T02:00:00
175.7,2023-08-24T03:00:00
174.7,2023-08-24T04:00:00
160.4,2023-08-24T05:00:00
136.0,2023-08-24T06:00:00
110.8,2023-08-24T07:00:00
89.1,2023-08-24T08:00:00
76.6,2023-08-24T09:00:00
72.2,2023-08-24T10:00:00
77.4,2023-08-24T11:00:00
100.1,2023-08-24T12:00:00
123.6,2023-08-24T13:00:00
144.5,2023-08-24T14:00:00
161.7,2023-08-24T15:00:00
166.1,2023-08-24T16:00:00
160.8,2023-08-24T17:00:00
147.3,2023-08-24T18:00:00
125.2,2023-08-24T19:00:00
105.4,2023-08-24T20:00:00
92.4,2023-08-24T21:00:00
84.1,2023-08-24T22:00:00
87.3,2023-08-24T23:00:00
101.2,2023-08-25T00:00:00
121.2,2023-08-25T01:00:00
141.0,2023-08-25T02:00:00
159.0,2023-08-25T03:00:00
168.6,2023-08-25T04:00:00
165.4,2023-08-25T05:00:00
156.9,2023-08-25T06:00:00
136.9,2023-08-25T07:00:00
115.4,2023-08-25T08:00:00
100.4,2023-08-25T09:00:00
87.9,2023-08-25T10:00:00
84.7,2023-08-25T11:00:00
91.5,2023-08-25T12:00:00
